	GSM461176_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461178_untreat_paired.counts	GSM461182_untreat_single.counts	GSM461179_treat_single.counts	GSM461180_treat_paired.counts	GSM461181_treat_paired.counts
FBgn0039217	0.733295689584092	0	1.13716113914932	1.2278360883877	1.54865146210987	2.24298440664782	0
FBgn0039218	258.1200827336	189.371203671064	352.519953136289	272.579611622071	377.870956754808	263.550667781119	220.831328408914
FBgn0039219	486.908337883837	492.131337935295	559.483280461466	547.614895420916	571.452389518541	744.670823007076	741.625211239936
FBgn0004885	14.6659137916818	14.0274965682269	10.2344502523439	8.59485261871393	19.3581432763734	11.2149220332391	7.36104428029713
FBgn0086059	0	0	0	0	0	0	0
FBgn0003719	2.93318275833637	4.67583218940898	0	1.2278360883877	0.774325731054934	7.85044542326737	1.84026107007428
FBgn0000140	1355.86373004099	1330.27425788686	1191.74487382849	1521.28891351237	1402.30389894049	1545.41625618035	1279.90157423666
FBgn0015591	5.86636551667273	2.33791609470449	1.13716113914932	0	4.64595438632961	7.85044542326737	0
FBgn0267210	2.19988706875227	0	0	0	0	0	1.84026107007428
FBgn0040600	1423.32693348272	951.531850544728	855.145176640289	1264.67117103934	1520.77573579189	1016.07193621146	1005.7026747956
FBgn0259233	490.574816331757	563.437778823782	512.859673756344	443.248827907961	358.512813478435	591.0263911517	492.269836244871
FBgn0039223	973.816675767674	946.856018355319	983.644385364163	1085.40710213473	1030.62754803412	1059.81013214109	1117.95860007013
FBgn0039225	4.39977413750455	0	4.54864455659728	1.2278360883877	1.54865146210987	1.12149220332391	0
FBgn0039224	2.93318275833637	0	0	0	0	0	0
FBgn0039226	74.0628646479932	70.1374828411347	90.9728911319457	99.4547231594041	100.662345037141	76.2614698260259	97.533836713937
FBgn0039227	1975.49858773954	2168.41717783842	1844.4753677002	1916.65213397321	1791.01541593006	2024.29342699966	1840.26107007428
FBgn0027539	576.370412013096	681.502541606359	676.610877793846	769.853227419091	791.360897138143	713.269041314007	737.02455856475
FBgn0039228	1.46659137916818	7.01374828411347	5.6858056957466	6.13918044193852	3.87162865527467	1.12149220332391	1.84026107007428
FBgn0083986	170.124599983509	98.1924759775886	86.4242465753484	144.884658429749	187.386826915294	116.635189145687	145.380624535868
FBgn0027617	112.194240506366	92.3476857408274	96.6586968276923	82.2650179219762	135.507002934613	91.9623606725606	91.092922968677
FBgn0267765	0	0	1.13716113914932	0	0	0	0
FBgn0039229	2292.28232563987	2621.97290021109	2426.70187094465	2368.49581449988	1963.69005395531	2537.93685612201	2465.0297033645
FBgn0045980	9.53284396459319	17.5343707102837	18.1945782263891	7.36701653032623	22.4554462005931	11.2149220332391	19.32274123578
FBgn0262722	0	0	0	0	0	0	0
FBgn0051118	85.7955956813387	51.4341540834988	94.3843745493936	83.4928540103639	42.5879152080214	82.9904230459693	72.6903122679342
FBgn0051357	566.104272358919	638.251093854326	713.000034246624	570.943781100283	518.023914075751	611.213250811531	698.37907609319
FBgn0262962	46.1976284437978	18.7033287576359	26.1547062004344	30.6959022096926	42.5879152080214	26.9158128797738	14.7220885605943
FBgn0039232	1.46659137916818	2.33791609470449	1.13716113914932	1.2278360883877	1.54865146210987	2.24298440664782	1.84026107007428
FBgn0266743	1.46659137916818	0	0	0	0	0	0
FBgn0053658	0	0	0	1.2278360883877	0	0	0
FBgn0013953	52.0639939604705	65.4616506517257	70.5039906272579	79.8093457452008	39.4906122838016	45.9811803362803	66.2493985226742
FBgn0039233	373.247505998303	282.887847459243	362.754403388633	415.008597875044	315.924898270413	325.232738963934	322.045687262999
FBgn0039234	2749.12554025076	2800.82348145598	2819.02246395117	2925.9333986279	2708.59140723016	2650.0860764544	2568.08432328866
FBgn0051119	33.7316017208682	31.5618672785106	39.8006398702262	35.6072465632434	37.9419608216918	54.9531179628716	53.3675710321542
FBgn0039235	0.733295689584092	0	2.27432227829864	0	0	1.12149220332391	0
FBgn0051105	2.93318275833637	4.67583218940898	2.27432227829864	1.2278360883877	3.09730292421974	3.36447660997173	0
FBgn0265266	0.733295689584092	0	0	0	0	0	0
FBgn0039237	0.733295689584092	0	0	0	0	1.12149220332391	0
FBgn0039238	0	0	2.27432227829864	1.2278360883877	3.87162865527467	4.48596881329564	0
FBgn0039239	0	0	3.41148341744796	0	1.54865146210987	0	0
FBgn0013949	3.66647844792046	4.67583218940898	2.27432227829864	1.2278360883877	4.64595438632961	4.48596881329564	5.52078321022285
FBgn0015625	373.247505998303	404.459484383877	398.006398702262	451.843680526675	450.657575473972	487.849108445901	504.231533200354
FBgn0039240	1556.05345329744	1733.56478422338	1607.94585075714	1644.07252235114	1307.06183402073	1601.49086634654	1687.51940125812
FBgn0043799	96.7950310251001	98.1924759775886	102.344502523439	83.4928540103639	85.9501561470977	106.541759315771	92.9331840387513
FBgn0039241	672.432147348612	801.90522048364	879.025560562425	857.029589694618	571.452389518541	785.044542326737	807.87460976261
FBgn0051121	8.06625258542501	2.33791609470449	2.27432227829864	2.45567217677541	3.87162865527467	10.0934298299152	1.84026107007428
FBgn0039244	2.93318275833637	2.33791609470449	0	2.45567217677541	2.3229771931648	2.24298440664782	0
FBgn0040601	3.66647844792046	2.33791609470449	0	1.2278360883877	5.42028011738454	0	0.920130535037141
FBgn0039246	1.46659137916818	0	0	0	0.774325731054934	0	0
FBgn0265253	0.733295689584092	0	0	1.2278360883877	0.774325731054934	0	0.920130535037141
FBgn0265190	482.508563746332	631.237345570212	724.371645638117	553.754075862855	507.183353840982	665.044876571078	709.420642513636
FBgn0051382	0	0	0	0	0	0	0
FBgn0051416	0	0	0	0	0.774325731054934	0	0
FBgn0265189	314.583850831575	321.463463021867	350.245630857991	384.312695665352	301.212709380369	403.737193196607	422.339915582048
FBgn0039249	316.050442210743	314.449714737754	334.3253749099	332.743579953068	268.691028676062	261.307683374471	325.726209403148
FBgn0039250	1218.00414039918	1195.84408244135	1031.40515320843	1203.27936661995	1324.09700010394	1010.46447519484	954.175364833516
FBgn0267766	0	0	0	0	0	0	0
FBgn0039251	27.1319405146114	39.7445736099763	43.2121232876742	60.1639683309975	31.7473549732523	40.3737193196608	31.2844381912628
FBgn0039252	932.752117150964	1071.93452942201	1004.11328586885	977.357526356613	1018.23833633724	972.33374028183	945.894190018181
FBgn0020626	2014.3632592875	2599.76269731139	2481.28560562382	1912.96862570804	1708.93688843824	2461.67538629598	2389.57899949146
FBgn0029157	1653.58178001213	1975.53910002529	1708.01603100228	1561.80750442916	1356.61868080824	1847.09765887448	1808.05650134798
FBgn0039254	327.049877554505	261.846602606903	296.799057317973	265.212595091744	327.539784236237	343.176614217116	397.496391136045
